Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772110659,5,GET,/,2.800000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2843,0,720.0,699.1367008149031,179.83191600069404,862.3421660158783,92.0
1772110659,5,,Aggregated,2.800000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2843,0,720.0,699.1367008149031,179.83191600069404,862.3421660158783,92.0
1772110660,5,GET,/,2.900000,0.000000,740,750,750,760,760,770,770,770,770,770,770,2846,0,720.0,699.1537616977631,179.83191600069404,862.3421660158783,92.0
1772110660,5,,Aggregated,2.900000,0.000000,740,750,750,760,760,770,770,770,770,770,770,2846,0,720.0,699.1537616977631,179.83191600069404,862.3421660158783,92.0
1772110661,5,GET,/,3.000000,0.000000,730,750,750,750,760,760,770,770,770,770,770,2849,0,720.0,699.2034307802302,179.83191600069404,862.3421660158783,92.0
1772110661,5,,Aggregated,3.000000,0.000000,730,750,750,750,760,760,770,770,770,770,770,2849,0,720.0,699.2034307802302,179.83191600069404,862.3421660158783,92.0
1772110662,5,GET,/,3.000000,0.000000,740,750,750,750,760,760,770,770,770,770,770,2853,0,720.0,699.2427158842764,179.83191600069404,862.3421660158783,92.0
1772110662,5,,Aggregated,3.000000,0.000000,740,750,750,750,760,760,770,770,770,770,770,2853,0,720.0,699.2427158842764,179.83191600069404,862.3421660158783,92.0
1772110663,5,GET,/,2.900000,0.000000,750,750,760,760,760,770,770,770,770,770,770,2855,0,720.0,699.2874748983434,179.83191600069404,862.3421660158783,92.0
1772110663,5,,Aggregated,2.900000,0.000000,750,750,760,760,760,770,770,770,770,770,770,2855,0,720.0,699.2874748983434,179.83191600069404,862.3421660158783,92.0
1772110664,5,GET,/,2.800000,0.000000,750,750,760,760,770,770,770,770,770,770,770,2858,0,720.0,699.2722506857253,179.83191600069404,862.3421660158783,92.0
1772110664,5,,Aggregated,2.800000,0.000000,750,750,760,760,770,770,770,770,770,770,770,2858,0,720.0,699.2722506857253,179.83191600069404,862.3421660158783,92.0
1772110665,5,GET,/,2.800000,0.000000,750,750,760,760,770,770,770,770,770,770,770,2860,0,720.0,699.3001757142821,179.83191600069404,862.3421660158783,92.0
1772110665,5,,Aggregated,2.800000,0.000000,750,750,760,760,770,770,770,770,770,770,770,2860,0,720.0,699.3001757142821,179.83191600069404,862.3421660158783,92.0
1772110666,5,GET,/,2.800000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2863,0,720.0,699.2875828825792,179.83191600069404,862.3421660158783,92.0
1772110666,5,,Aggregated,2.800000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2863,0,720.0,699.2875828825792,179.83191600069404,862.3421660158783,92.0
1772110667,5,GET,/,3.000000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2868,0,720.0,699.3119562419355,179.83191600069404,862.3421660158783,92.0
1772110667,5,,Aggregated,3.000000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2868,0,720.0,699.3119562419355,179.83191600069404,862.3421660158783,92.0
1772110668,5,GET,/,3.000000,0.000000,750,750,760,760,760,770,770,770,770,770,770,2870,0,720.0,699.3485697309644,179.83191600069404,862.3421660158783,92.0
1772110668,5,,Aggregated,3.000000,0.000000,750,750,760,760,760,770,770,770,770,770,770,2870,0,720.0,699.3485697309644,179.83191600069404,862.3421660158783,92.0
1772110669,5,GET,/,2.800000,0.000000,750,750,760,760,760,770,770,770,770,770,770,2873,0,720.0,699.3736571538035,179.83191600069404,862.3421660158783,92.0
1772110669,5,,Aggregated,2.800000,0.000000,750,750,760,760,760,770,770,770,770,770,770,2873,0,720.0,699.3736571538035,179.83191600069404,862.3421660158783,92.0
1772110670,5,GET,/,2.900000,0.000000,750,750,760,760,760,770,770,770,770,770,770,2875,0,720.0,699.3814404792679,179.83191600069404,862.3421660158783,92.0
1772110670,5,,Aggregated,2.900000,0.000000,750,750,760,760,760,770,770,770,770,770,770,2875,0,720.0,699.3814404792679,179.83191600069404,862.3421660158783,92.0
